data,extract4,extract3,extract2,extract1,extract
Peter Keleher ,0101,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
TuTh ,0101,(Total: 145, Open: 145, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
Instructor: TBA,0101,(Total: 145, Open: 145, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
MW ,0101,(Total: 15, Open: 13, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
Tudor Dumitras,0101,(Total: 15, Open: 13, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
MW ,0101,(Total: 25, Open: 2, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
Larry Davis ,0101,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
TuTh ,0101,(Total: 25, Open: 12, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
Venkatramanan Subrahmanian ,0101,(Total: 25, Open: 12, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
TuTh ,0101,(Total: 20, Open: 3, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
Mohammad Hajiaghayi,0101,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  2118,CMSC858
TuTh ,0101,,3:30pm - 4:45pm,CSI  2118,CMSC858
